player,tour,steal_charting
Gianluca Mager,m,44.9
Gijs Brouwer,m,13.0
Gilles Arnaud Bailly,m,27.6
Gilles Muller,m,30.0
Gilles Simon,m,10.9
Giovanni Mpetshi Perricard,m,22.6
Goran Ivanisevic,m,26.2
Greet Minnen,w,24.3
Greg Rusedski,m,28.6
Gregoire Barrere,m,21.8
Grigor Dimitrov,m,14.8
Guido Pella,m,29.3
Guillermo Canas,m,19.5
Guillermo Coria,m,37.9
Guillermo Garcia Lopez,m,26.4
Guillermo Vilas,m,20.2
Gustavo Kuerten,m,30.3
Guy Den Ouden,m,37.3
Guy Forget,m,29.2
Hailey Baptiste,w,31.8
Hamad Medjedovic,m,60.8
Hana Mandlikova,w,36.7
Harmony Tan,w,51.8
Harriet Dart,w,42.3
Harry Wendelken,m,28.7
Heather Watson,w,25.2
Helena Sukova,w,52.6
Henri Laaksonen,m,26.5
Henri Leconte,m,15.2
Holger Rune,m,39.8
Horacio Zeballos,m,52.2
Hubert Hurkacz,m,35.4
Hugo Dellien,m,30.0
Hugo Gaston,m,94.2
Hyeon Chung,m,12.0
Iga Swiatek,w,18.5
Igor Andreev,m,17.6
Illya Marchenko,m,19.5
Ilya Ivashka,m,19.4
Indy De Vroome,w,15.0
Irina Bara,w,58.6
Irina Camelia Begu,w,32.5
Iva Jovic,w,14.4
Ivan Dodig,m,33.9
Ivan Lendl,m,22.7
Ivan Ljubicic,m,19.8
Ivo Karlovic,m,26.6
J J Wolf,m,14.3
Jack Draper,m,31.2
Jack Sock,m,30.6
Jacob Fearnley,m,33.0
Jaime Yzaga,m,13.3
Jakob Hlasek,m,29.8
Jakub Mensik,m,27.1
James Blake,m,18.3
James Duckworth,m,32.0
